A,B,loss_A,loss_B,DM_lag0,p_lag0,DM_lag31,p_lag31,better,p_holm_lag31
cosine,arctan,0.2592488930263605,0.2842369764826106,-2.9080962646082105,0.0036363638141957,-0.8965756880807899,0.3699453758793828,cosine,0.7399
cosine,arccosh,0.2592488930263605,0.2959498893371233,-4.859275016043459,1.1781638139728016e-06,-1.5960903020123278,0.1104686335838695,cosine,0.4419
cosine,exponential,0.2592488930263605,0.2385401178768142,3.3032227570667776,0.0009558042925588,1.2278184007691475,0.2195151465536841,exponential,0.6585
arctan,arccosh,0.2842369764826106,0.2959498893371233,-2.249138356511967,0.0245036948862458,-0.7611456111019014,0.4465700999543153,arctan,0.7399
arctan,exponential,0.2842369764826106,0.2385401178768142,6.200741158859767,5.619787498336804e-10,1.943000155558316,0.0520161395210019,exponential,0.2601
arccosh,exponential,0.2959498893371233,0.2385401178768142,8.818668031037053,1.1582928594359389e-18,2.8635690242768628,0.0041889753493316,exponential,0.0251
