episode,asset,method,mapping,n_windows,n_positive,n_negative,prevalence,auc,pr_auc,pr_auc_random,rank_metrics_valid,shipped_TP,shipped_FP,shipped_FN,shipped_TN,shipped_precision,shipped_recall,shipped_f1,shipped_balanced_acc,shipped_accuracy,shipped_fpr,far_tau,far_control,matched_TP,matched_FP,matched_FN,matched_TN,matched_precision,matched_recall,matched_f1,matched_balanced_acc,matched_accuracy,matched_fpr
Iran 2025,GOLD,one_class_svm,exponential,106,40,66,0.3774,0.3095,0.2898,0.3774,True,1,7,39,59,0.125,0.025,0.0417,0.4595,0.566,0.1061,0.2057,0.0938,0.0,0.0,40.0,66.0,,0.0,,0.5,0.6226,0.0
Iran 2025,EURUSD,one_class_svm,exponential,107,41,66,0.3832,0.2546,0.276,0.3832,True,1,11,40,55,0.0833,0.0244,0.0377,0.4289,0.5234,0.1667,0.464,0.0985,0.0,3.0,41.0,63.0,0.0,0.0,,0.4773,0.5888,0.0455
Iran 2025,USOIL,standalone_fanogan,arccosh,106,40,66,0.3774,0.2758,0.2753,0.3774,True,0,0,40,66,,0.0,,0.5,0.6226,0.0,0.0452,0.0938,40.0,66.0,0.0,0.0,0.3774,1.0,0.5479,0.5,0.3774,1.0
Iran 2025,GOLD,standalone_fanogan,arccosh,106,40,66,0.3774,0.689,0.4647,0.3774,True,2,8,38,58,0.2,0.05,0.08,0.4644,0.566,0.1212,0.1531,0.0938,0.0,0.0,40.0,66.0,,0.0,,0.5,0.6226,0.0
Iran 2025,EURUSD,standalone_fanogan,arccosh,107,41,66,0.3832,0.435,0.3886,0.3832,True,6,11,35,55,0.3529,0.1463,0.2069,0.4898,0.5701,0.1667,0.024,0.0985,41.0,66.0,0.0,0.0,0.3832,1.0,0.5541,0.5,0.3832,1.0
Iran 2025,USOIL,standalone_fanogan,arctan,106,40,66,0.3774,0.8053,0.7393,0.3774,True,20,10,20,56,0.6667,0.5,0.5714,0.6742,0.717,0.1515,0.0148,0.0938,40.0,66.0,0.0,0.0,0.3774,1.0,0.5479,0.5,0.3774,1.0
Iran 2025,GOLD,standalone_fanogan,arctan,106,40,66,0.3774,0.5348,0.3638,0.3774,True,2,12,38,54,0.1429,0.05,0.0741,0.4341,0.5283,0.1818,0.0144,0.0938,40.0,66.0,0.0,0.0,0.3774,1.0,0.5479,0.5,0.3774,1.0
Iran 2025,EURUSD,standalone_fanogan,arctan,107,41,66,0.3832,0.483,0.3485,0.3832,True,0,3,41,63,0.0,0.0,,0.4773,0.5888,0.0455,0.0104,0.0985,41.0,66.0,0.0,0.0,0.3832,1.0,0.5541,0.5,0.3832,1.0
Iran 2025,USOIL,standalone_fanogan,cosine,106,40,66,0.3774,0.3788,0.3522,0.3774,True,5,10,35,56,0.3333,0.125,0.1818,0.4867,0.5755,0.1515,0.131,0.0938,37.0,66.0,3.0,0.0,0.3592,0.925,0.5175,0.4625,0.3491,1.0
Iran 2025,GOLD,standalone_fanogan,cosine,106,40,66,0.3774,0.4625,0.3298,0.3774,True,0,12,40,54,0.0,0.0,,0.4091,0.5094,0.1818,0.1673,0.0938,0.0,12.0,40.0,54.0,0.0,0.0,,0.4091,0.5094,0.1818
Iran 2025,EURUSD,standalone_fanogan,cosine,107,41,66,0.3832,0.2402,0.2656,0.3832,True,0,4,41,62,0.0,0.0,,0.4697,0.5794,0.0606,0.1596,0.0985,41.0,66.0,0.0,0.0,0.3832,1.0,0.5541,0.5,0.3832,1.0
Iran 2025,USOIL,standalone_fanogan,exponential,106,40,66,0.3774,0.642,0.5264,0.3774,True,17,9,23,57,0.6538,0.425,0.5152,0.6443,0.6981,0.1364,0.3991,0.0938,0.0,0.0,40.0,66.0,,0.0,,0.5,0.6226,0.0
Iran 2025,GOLD,standalone_fanogan,exponential,106,40,66,0.3774,0.6261,0.4218,0.3774,True,2,7,38,59,0.2222,0.05,0.0816,0.472,0.5755,0.1061,0.2309,0.0938,40.0,35.0,0.0,31.0,0.5333,1.0,0.6957,0.7348,0.6698,0.5303
Iran 2025,EURUSD,standalone_fanogan,exponential,107,41,66,0.3832,0.1885,0.2719,0.3832,True,0,2,41,64,0.0,0.0,,0.4848,0.5981,0.0303,0.2059,0.0985,10.0,51.0,31.0,15.0,0.1639,0.2439,0.1961,0.2356,0.2336,0.7727
Iran 2025,USOIL,tranad,exponential,106,40,66,0.3774,0.6583,0.6035,0.3774,True,17,11,23,55,0.6071,0.425,0.5,0.6292,0.6792,0.1667,0.0344,0.0938,0.0,0.0,40.0,66.0,,0.0,,0.5,0.6226,0.0
Iran 2025,GOLD,tranad,exponential,106,40,66,0.3774,0.4545,0.3268,0.3774,True,0,9,40,57,0.0,0.0,,0.4318,0.5377,0.1364,0.034,0.0938,40.0,66.0,0.0,0.0,0.3774,1.0,0.5479,0.5,0.3774,1.0
Iran 2025,EURUSD,tranad,exponential,107,41,66,0.3832,0.2971,0.347,0.3832,True,0,1,41,65,0.0,0.0,,0.4924,0.6075,0.0152,0.0271,0.0985,41.0,66.0,0.0,0.0,0.3832,1.0,0.5541,0.5,0.3832,1.0
Iran 2025,USOIL,usad,exponential,106,40,66,0.3774,0.1697,0.2491,0.3774,True,0,11,40,55,0.0,0.0,,0.4167,0.5189,0.1667,1.6823,0.0938,0.0,0.0,40.0,66.0,,0.0,,0.5,0.6226,0.0
Iran 2025,GOLD,usad,exponential,106,40,66,0.3774,0.4716,0.4759,0.3774,True,8,5,32,61,0.6154,0.2,0.3019,0.5621,0.6509,0.0758,1.5027,0.0938,0.0,0.0,40.0,66.0,,0.0,,0.5,0.6226,0.0
