A,B,loss_A,loss_B,DM_lag0,p_lag0,DM_lag31,p_lag31,better,p_holm_lag31
cosine,arctan,0.3164667000216365,0.3253221646642585,-1.1976026711750976,0.2310717357167629,-0.574715794962448,0.565483523383024,cosine,1.0
cosine,arccosh,0.3164667000216365,0.3182984698800848,-0.2542503375661512,0.7993021641851317,-0.1208363779999822,0.9038206357325254,cosine,1.0
cosine,exponential,0.3164667000216365,0.3428286179454495,-4.291357377116176,1.775842457118636e-05,-1.767291241362308,0.0771794659183616,cosine,0.4631
arctan,arccosh,0.3253221646642585,0.3182984698800848,0.8609035810976854,0.3892911491712376,0.3917857911241739,0.6952164945307209,arccosh,1.0
arctan,exponential,0.3253221646642585,0.3428286179454495,-2.3272573650448414,0.0199515714899417,-0.9982605146988952,0.3181530490569655,arctan,1.0
arccosh,exponential,0.3182984698800848,0.3428286179454495,-3.2959478071117942,0.0009809023674772,-1.2941517588341347,0.195613006211969,arccosh,0.9781
