event,asset,window_start,label,prob_EXP,loss_EXP,prob_AT,loss_AT,prob_DAG,loss_DAG,prob_DSV,loss_DSV,prob_IF,loss_IF,prob_OMNI,loss_OMNI,prob_OCS,loss_OCS,prob_TR,loss_TR,prob_USAD,loss_USAD
Iran 2025,USOIL,2323,0,0.3644859813084112,0.13285003057035547,0.5981308411214953,0.35776050310070745,0.8037383177570093,0.6459952834308673,0.27102803738317754,0.07345619704777709,0.719626168224299,0.5178618219931871,0.3644859813084112,0.13285003057035547,0.1308411214953271,0.017119399074154943,0.4672897196261682,0.21835968206830292,0.07476635514018691,0.005590007860948554
Iran 2025,USOIL,2324,0,0.11214953271028037,0.012577517687134247,0.7102803738317757,0.504498209450607,0.8785046728971962,0.7717704603022097,0.37383177570093457,0.13975019652371384,0.7663551401869159,0.5873002008909075,0.27102803738317754,0.07345619704777709,0.102803738317757,0.010568608612105861,0.45794392523364486,0.20971263865839812,0.037383177570093455,0.0013975019652371385
Iran 2025,USOIL,2325,0,0.12149532710280374,0.014761114507817277,0.6915887850467289,0.47829504760241065,0.21495327102803738,0.046204908725652895,0.6635514018691588,0.44030046292252595,0.2523364485981308,0.06367368329111711,0.14953271028037382,0.022360031443794216,0.14018691588785046,0.01965237138614726,0.40186915887850466,0.16149882085771683,0.6915887850467289,0.47829504760241065
Iran 2025,USOIL,2326,0,0.3364485981308411,0.11319765918420821,0.7757009345794392,0.6017119399074154,0.24299065420560748,0.059044458031269106,0.8317757009345794,0.6918508166652109,0.2336448598130841,0.05458992051707573,0.5514018691588785,0.3040440213119049,0.5794392523364486,0.3357498471482225,0.3925233644859813,0.1540745916673945,0.8504672897196262,0.7232946108830465
Iran 2025,USOIL,2327,0,0.4953271028037383,0.24534893877194514,0.9626168224299065,0.9266311468250502,0.037383177570093455,0.0013975019652371385,0.6261682242990654,0.39208664512184466,0.18691588785046728,0.03493754913092846,0.6355140186915887,0.403878067953533,0.5981308411214953,0.35776050310070745,0.616822429906542,0.38046991003581093,0.8411214953271028,0.7074853699013014
Iran 2025,USOIL,2328,0,0.5327102803738317,0.2837802428159664,0.7289719626168224,0.5314001222814219,0.028037383177570093,0.0007860948554458904,0.7663551401869159,0.5873002008909075,0.22429906542056074,0.05031007074853699,0.6074766355140186,0.36902786269543186,0.6355140186915887,0.403878067953533,0.6728971962616822,0.45279063673683284,0.8691588785046729,0.7554371560835007
Iran 2025,USOIL,2329,0,0.411214953271028,0.16909773779369378,0.6728971962616822,0.45279063673683284,0.34579439252336447,0.11957376190060266,0.4766355140186916,0.22718141322386234,0.1308411214953271,0.017119399074154943,0.5700934579439252,0.325006550790462,0.6074766355140186,0.36902786269543186,0.3644859813084112,0.13285003057035547,0.9252336448598131,0.8560572975805747
Iran 2025,USOIL,2330,0,0.24299065420560748,0.059044458031269106,0.6448598130841121,0.415844178530876,0.2616822429906542,0.06847759629661977,0.48598130841121495,0.23617783212507643,0.16822429906542055,0.028299414796052053,0.48598130841121495,0.23617783212507643,0.5420560747663551,0.29382478819110835,0.5700934579439252,0.325006550790462,0.9065420560747663,0.8218184994322648
Iran 2025,USOIL,2331,0,0.308411214953271,0.09511747750895273,0.6261682242990654,0.39208664512184466,0.42990654205607476,0.18481963490261158,0.7570093457943925,0.5730631496200541,0.14953271028037382,0.022360031443794216,0.2803738317757009,0.07860948554458903,0.5514018691588785,0.3040440213119049,0.4766355140186916,0.22718141322386234,0.9813084112149533,0.9629661979212158
Iran 2025,USOIL,2332,0,0.17757009345794392,0.031531138090662936,0.6355140186915887,0.403878067953533,0.16822429906542055,0.028299414796052053,0.6355140186915887,0.403878067953533,0.14018691588785046,0.01965237138614726,0.2523364485981308,0.06367368329111711,0.4953271028037383,0.24534893877194514,0.411214953271028,0.16909773779369378,0.9719626168224299,0.9447113285003057
