event,asset,window_start,label,prob_EXP,loss_EXP,prob_AT,loss_AT,prob_DAG,loss_DAG,prob_DSV,loss_DSV,prob_IF,loss_IF,prob_OMNI,loss_OMNI,prob_OCS,loss_OCS,prob_TR,loss_TR,prob_USAD,loss_USAD
Iran 2025,USOIL,2323,0,0.3644859813084112,0.1328500305703554,0.5981308411214953,0.3577605031007074,0.8037383177570093,0.6459952834308673,0.2710280373831775,0.073456197047777,0.719626168224299,0.5178618219931871,0.3644859813084112,0.1328500305703554,0.1308411214953271,0.0171193990741549,0.4672897196261682,0.2183596820683029,0.0747663551401869,0.0055900078609485
Iran 2025,USOIL,2324,0,0.1121495327102803,0.0125775176871342,0.7102803738317757,0.504498209450607,0.8785046728971962,0.7717704603022097,0.3738317757009345,0.1397501965237138,0.7663551401869159,0.5873002008909075,0.2710280373831775,0.073456197047777,0.102803738317757,0.0105686086121058,0.4579439252336448,0.2097126386583981,0.0373831775700934,0.0013975019652371
Iran 2025,USOIL,2325,0,0.1214953271028037,0.0147611145078172,0.6915887850467289,0.4782950476024106,0.2149532710280373,0.0462049087256528,0.6635514018691588,0.4403004629225259,0.2523364485981308,0.0636736832911171,0.1495327102803738,0.0223600314437942,0.1401869158878504,0.0196523713861472,0.4018691588785046,0.1614988208577168,0.6915887850467289,0.4782950476024106
Iran 2025,USOIL,2326,0,0.3364485981308411,0.1131976591842082,0.7757009345794392,0.6017119399074154,0.2429906542056074,0.0590444580312691,0.8317757009345794,0.6918508166652109,0.2336448598130841,0.0545899205170757,0.5514018691588785,0.3040440213119049,0.5794392523364486,0.3357498471482225,0.3925233644859813,0.1540745916673945,0.8504672897196262,0.7232946108830465
Iran 2025,USOIL,2327,0,0.4953271028037383,0.2453489387719451,0.9626168224299064,0.9266311468250502,0.0373831775700934,0.0013975019652371,0.6261682242990654,0.3920866451218446,0.1869158878504672,0.0349375491309284,0.6355140186915887,0.403878067953533,0.5981308411214953,0.3577605031007074,0.616822429906542,0.3804699100358109,0.8411214953271028,0.7074853699013014
Iran 2025,USOIL,2328,0,0.5327102803738317,0.2837802428159664,0.7289719626168224,0.5314001222814219,0.02803738317757,0.0007860948554458,0.7663551401869159,0.5873002008909075,0.2242990654205607,0.0503100707485369,0.6074766355140186,0.3690278626954318,0.6355140186915887,0.403878067953533,0.6728971962616822,0.4527906367368328,0.8691588785046729,0.7554371560835007
Iran 2025,USOIL,2329,0,0.411214953271028,0.1690977377936937,0.6728971962616822,0.4527906367368328,0.3457943925233644,0.1195737619006026,0.4766355140186916,0.2271814132238623,0.1308411214953271,0.0171193990741549,0.5700934579439252,0.325006550790462,0.6074766355140186,0.3690278626954318,0.3644859813084112,0.1328500305703554,0.9252336448598132,0.8560572975805747
Iran 2025,USOIL,2330,0,0.2429906542056074,0.0590444580312691,0.6448598130841121,0.415844178530876,0.2616822429906542,0.0684775962966197,0.4859813084112149,0.2361778321250764,0.1682242990654205,0.028299414796052,0.4859813084112149,0.2361778321250764,0.5420560747663551,0.2938247881911083,0.5700934579439252,0.325006550790462,0.9065420560747663,0.8218184994322648
Iran 2025,USOIL,2331,0,0.308411214953271,0.0951174775089527,0.6261682242990654,0.3920866451218446,0.4299065420560747,0.1848196349026115,0.7570093457943925,0.5730631496200541,0.1495327102803738,0.0223600314437942,0.2803738317757009,0.078609485544589,0.5514018691588785,0.3040440213119049,0.4766355140186916,0.2271814132238623,0.9813084112149532,0.9629661979212158
Iran 2025,USOIL,2332,0,0.1775700934579439,0.0315311380906629,0.6355140186915887,0.403878067953533,0.1682242990654205,0.028299414796052,0.6355140186915887,0.403878067953533,0.1401869158878504,0.0196523713861472,0.2523364485981308,0.0636736832911171,0.4953271028037383,0.2453489387719451,0.411214953271028,0.1690977377936937,0.97196261682243,0.9447113285003056
