row,column,dm,p_raw,p_holm,significant
ENS,EXP,4.417766752643459,9.972595439813956e-06,0.0004387941993518141,True
ENS,AT,1.666384922598688,0.09563677189523548,1.0,False
ENS,DAG,2.7623847081081765,0.005738082315979054,0.22952329263916216,False
ENS,DSV,4.846140457059997,1.2588640856898713e-06,5.6648883856044205e-05,True
ENS,IF,2.224452963128494,0.026117983837254468,0.9402474181411609,False
ENS,OMNI,1.7336951132562324,0.08297219405270069,1.0,False
ENS,OCS,2.623330157713383,0.008707484729816884,0.33088441973304156,False
ENS,TR,3.695361501333223,0.00021957414826390825,0.009441688375348055,True
ENS,USAD,3.227942263657786,0.001246841369333161,0.05236733751199276,False
EXP,AT,-2.6944257453452933,0.007051003555926643,0.2749891386811391,False
EXP,DAG,-0.9879589058035473,0.32317277442573233,1.0,False
EXP,DSV,-0.05718062542244682,0.954401311578394,1.0,False
EXP,IF,-2.1560368564322867,0.031080787341530827,1.0,False
EXP,OMNI,-1.733838443995871,0.08294675234527395,1.0,False
EXP,OCS,-1.6366695619850016,0.10169953219116618,1.0,False
EXP,TR,-1.0866541908027147,0.27718966614487056,1.0,False
EXP,USAD,0.7597094569152351,0.4474282746699603,1.0,False
AT,DAG,1.3413519588972502,0.17980620745263237,1.0,False
AT,DSV,2.98800041379848,0.002808091742064495,0.11513176142464429,False
AT,IF,0.46379555557933033,0.6427942278767182,1.0,False
AT,OMNI,0.3703099548948991,0.7111515572946073,1.0,False
AT,OCS,0.8201579075126341,0.41212609423499225,1.0,False
AT,TR,1.8156849721658406,0.06941871059885041,1.0,False
AT,USAD,2.1744972445668043,0.029667812111890558,1.0,False
DAG,DSV,1.016905357025579,0.3091984546833867,1.0,False
DAG,IF,-1.2014151695066362,0.22959019467212147,1.0,False
DAG,OMNI,-0.8049262806732606,0.42086222174439275,1.0,False
DAG,OCS,-0.3775637979639448,0.7057546623678064,1.0,False
DAG,TR,0.4566896983107708,0.6478940964152876,1.0,False
DAG,USAD,1.4121876036384144,0.15789472956174877,1.0,False
DSV,IF,-2.266872423835767,0.023398020248946876,0.8657267492110344,False
DSV,OMNI,-1.7595573455533635,0.07848288908265467,1.0,False
DSV,OCS,-1.6134520933531356,0.10664632330336082,1.0,False
DSV,TR,-1.307276731397633,0.19111874382744884,1.0,False
DSV,USAD,0.7829559617797597,0.4336529731314917,1.0,False
IF,OMNI,0.1063602528554231,0.9152965277708419,1.0,False
IF,OCS,0.6462066677170797,0.5181455219553179,1.0,False
IF,TR,1.4512253525123426,0.14671711949767988,1.0,False
IF,USAD,1.8716544633537935,0.06125442326350953,1.0,False
OMNI,OCS,0.5296161344361806,0.5963781054593669,1.0,False
OMNI,TR,1.1675142767288393,0.24300274620901902,1.0,False
OMNI,USAD,1.9491157573645719,0.051281602304283205,1.0,False
OCS,TR,0.9111083541307996,0.36223828511648715,1.0,False
OCS,USAD,1.941553930618332,0.0521911246133462,1.0,False
TR,USAD,1.271522111342186,0.20354296632062904,1.0,False
